timestamp_ms,datetime_utc,open_interest
1719792000000,2024-07-01T00:00:00Z,40297331.00000000
1719795600000,2024-07-01T01:00:00Z,39997394.00000000
1719799200000,2024-07-01T02:00:00Z,39711026.00000000
1719802800000,2024-07-01T03:00:00Z,39616272.00000000
1719806400000,2024-07-01T04:00:00Z,39347870.00000000
1719810000000,2024-07-01T05:00:00Z,39594229.00000000
1719813600000,2024-07-01T06:00:00Z,39324280.00000000
1719817200000,2024-07-01T07:00:00Z,39630557.00000000
1719820800000,2024-07-01T08:00:00Z,39609680.00000000
1719824400000,2024-07-01T09:00:00Z,37510928.00000000
1719828000000,2024-07-01T10:00:00Z,37738929.00000000
1719831600000,2024-07-01T11:00:00Z,38034566.00000000
1719835200000,2024-07-01T12:00:00Z,38866415.00000000
1719838800000,2024-07-01T13:00:00Z,38885900.00000000
1719842400000,2024-07-01T14:00:00Z,38496254.00000000
1719846000000,2024-07-01T15:00:00Z,38253077.00000000
1719849600000,2024-07-01T16:00:00Z,38197056.00000000
1719853200000,2024-07-01T17:00:00Z,38044718.00000000
1719856800000,2024-07-01T18:00:00Z,38569946.00000000
1719860400000,2024-07-01T19:00:00Z,38891901.00000000
1719864000000,2024-07-01T20:00:00Z,38880502.00000000
1719867600000,2024-07-01T21:00:00Z,38768592.00000000
1719871200000,2024-07-01T22:00:00Z,38773410.00000000
1719874800000,2024-07-01T23:00:00Z,39484853.00000000
1719878400000,2024-07-02T00:00:00Z,39877865.00000000
1719882000000,2024-07-02T01:00:00Z,39755568.00000000
1719885600000,2024-07-02T02:00:00Z,39655164.00000000
1719889200000,2024-07-02T03:00:00Z,39355186.00000000
1719892800000,2024-07-02T04:00:00Z,39432626.00000000
1719896400000,2024-07-02T05:00:00Z,39610468.00000000
1719900000000,2024-07-02T06:00:00Z,39734670.00000000
1719903600000,2024-07-02T07:00:00Z,39401486.00000000
1719907200000,2024-07-02T08:00:00Z,39431254.00000000
1719910800000,2024-07-02T09:00:00Z,39251649.00000000
1719914400000,2024-07-02T10:00:00Z,39441388.00000000
1719918000000,2024-07-02T11:00:00Z,39779225.00000000
1719921600000,2024-07-02T12:00:00Z,39472187.00000000
1719925200000,2024-07-02T13:00:00Z,39141585.00000000
1719928800000,2024-07-02T14:00:00Z,40116032.00000000
1719932400000,2024-07-02T15:00:00Z,39497976.00000000
1719936000000,2024-07-02T16:00:00Z,39744266.00000000
1719939600000,2024-07-02T17:00:00Z,40138754.00000000
1719943200000,2024-07-02T18:00:00Z,40070285.00000000
1719946800000,2024-07-02T19:00:00Z,40186031.00000000
1719950400000,2024-07-02T20:00:00Z,40098125.00000000
1719954000000,2024-07-02T21:00:00Z,40069434.00000000
1719957600000,2024-07-02T22:00:00Z,40012077.00000000
1719961200000,2024-07-02T23:00:00Z,40029166.00000000
1719964800000,2024-07-03T00:00:00Z,40149872.00000000
1719968400000,2024-07-03T01:00:00Z,40866139.00000000
1719972000000,2024-07-03T02:00:00Z,40777671.00000000
1719975600000,2024-07-03T03:00:00Z,40019014.00000000
1719979200000,2024-07-03T04:00:00Z,42615857.00000000
1719982800000,2024-07-03T05:00:00Z,42910568.00000000
1719986400000,2024-07-03T06:00:00Z,42517023.00000000
1719990000000,2024-07-03T07:00:00Z,41568693.00000000
1719993600000,2024-07-03T08:00:00Z,40832243.00000000
1719997200000,2024-07-03T09:00:00Z,40532574.00000000
1720000800000,2024-07-03T10:00:00Z,40705732.00000000
1720004400000,2024-07-03T11:00:00Z,40553264.00000000
1720008000000,2024-07-03T12:00:00Z,39896062.00000000
1720011600000,2024-07-03T13:00:00Z,40286987.00000000
1720015200000,2024-07-03T14:00:00Z,40415937.00000000
1720018800000,2024-07-03T15:00:00Z,40325802.00000000
1720022400000,2024-07-03T16:00:00Z,40323357.00000000
1720026000000,2024-07-03T17:00:00Z,40379889.00000000
1720029600000,2024-07-03T18:00:00Z,40224433.00000000
1720033200000,2024-07-03T19:00:00Z,39962162.00000000
1720036800000,2024-07-03T20:00:00Z,39854900.00000000
1720040400000,2024-07-03T21:00:00Z,39653207.00000000
1720044000000,2024-07-03T22:00:00Z,39840020.00000000
1720047600000,2024-07-03T23:00:00Z,39715419.00000000
1720051200000,2024-07-04T00:00:00Z,40033349.00000000
1720054800000,2024-07-04T01:00:00Z,39926650.00000000
1720058400000,2024-07-04T02:00:00Z,39805972.00000000
1720062000000,2024-07-04T03:00:00Z,41236103.00000000
1720065600000,2024-07-04T04:00:00Z,39917554.00000000
1720069200000,2024-07-04T05:00:00Z,40206947.00000000
1720072800000,2024-07-04T06:00:00Z,40010966.00000000
1720076400000,2024-07-04T07:00:00Z,40727732.00000000
1720080000000,2024-07-04T08:00:00Z,40666366.00000000
1720083600000,2024-07-04T09:00:00Z,41017195.00000000
1720087200000,2024-07-04T10:00:00Z,40673597.00000000
1720090800000,2024-07-04T11:00:00Z,40597857.00000000
1720094400000,2024-07-04T12:00:00Z,40753625.00000000
1720098000000,2024-07-04T13:00:00Z,41202369.00000000
1720101600000,2024-07-04T14:00:00Z,39719875.00000000
1720105200000,2024-07-04T15:00:00Z,41076088.00000000
1720108800000,2024-07-04T16:00:00Z,41790148.00000000
1720112400000,2024-07-04T17:00:00Z,41767119.00000000
1720116000000,2024-07-04T18:00:00Z,41209340.00000000
1720119600000,2024-07-04T19:00:00Z,41158179.00000000
1720123200000,2024-07-04T20:00:00Z,40916816.00000000
1720126800000,2024-07-04T21:00:00Z,41103072.00000000
1720130400000,2024-07-04T22:00:00Z,41054481.00000000
1720134000000,2024-07-04T23:00:00Z,42336381.00000000
1720137600000,2024-07-05T00:00:00Z,43660230.00000000
1720141200000,2024-07-05T01:00:00Z,42627703.00000000
1720144800000,2024-07-05T02:00:00Z,42359773.00000000
1720148400000,2024-07-05T03:00:00Z,44071571.00000000
1720152000000,2024-07-05T04:00:00Z,41961804.00000000
1720155600000,2024-07-05T05:00:00Z,41551478.00000000
1720159200000,2024-07-05T06:00:00Z,40715887.00000000
1720162800000,2024-07-05T07:00:00Z,43015356.00000000
1720166400000,2024-07-05T08:00:00Z,41522913.00000000
1720170000000,2024-07-05T09:00:00Z,41727871.00000000
1720173600000,2024-07-05T10:00:00Z,39549461.00000000
1720177200000,2024-07-05T11:00:00Z,39474704.00000000
1720180800000,2024-07-05T12:00:00Z,39338398.00000000
1720184400000,2024-07-05T13:00:00Z,39128210.00000000
1720188000000,2024-07-05T14:00:00Z,40118883.00000000
1720191600000,2024-07-05T15:00:00Z,40260604.00000000
1720195200000,2024-07-05T16:00:00Z,39515326.00000000
1720198800000,2024-07-05T17:00:00Z,39492468.00000000
1720202400000,2024-07-05T18:00:00Z,39637907.00000000
1720206000000,2024-07-05T19:00:00Z,39581113.00000000
1720209600000,2024-07-05T20:00:00Z,39045902.00000000
1720213200000,2024-07-05T21:00:00Z,38813012.00000000
1720216800000,2024-07-05T22:00:00Z,38765079.00000000
1720220400000,2024-07-05T23:00:00Z,38820204.00000000
1720224000000,2024-07-06T00:00:00Z,38572858.00000000
1720227600000,2024-07-06T01:00:00Z,38243403.00000000
1720231200000,2024-07-06T02:00:00Z,38289132.00000000
1720234800000,2024-07-06T03:00:00Z,39422668.00000000
1720238400000,2024-07-06T04:00:00Z,39274771.00000000
1720242000000,2024-07-06T05:00:00Z,39589817.00000000
1720245600000,2024-07-06T06:00:00Z,39723514.00000000
1720249200000,2024-07-06T07:00:00Z,40125651.00000000
1720252800000,2024-07-06T08:00:00Z,39817447.00000000
1720256400000,2024-07-06T09:00:00Z,40356056.00000000
1720260000000,2024-07-06T10:00:00Z,39629475.00000000
1720263600000,2024-07-06T11:00:00Z,38989465.00000000
1720267200000,2024-07-06T12:00:00Z,39168906.00000000
1720270800000,2024-07-06T13:00:00Z,39053338.00000000
1720274400000,2024-07-06T14:00:00Z,39198045.00000000
1720278000000,2024-07-06T15:00:00Z,39191767.00000000
1720281600000,2024-07-06T16:00:00Z,39052588.00000000
1720285200000,2024-07-06T17:00:00Z,38787413.00000000
1720288800000,2024-07-06T18:00:00Z,39219803.00000000
1720292400000,2024-07-06T19:00:00Z,39017279.00000000
1720296000000,2024-07-06T20:00:00Z,38913202.00000000
1720299600000,2024-07-06T21:00:00Z,38303113.00000000
1720303200000,2024-07-06T22:00:00Z,38149123.00000000
1720306800000,2024-07-06T23:00:00Z,38451216.00000000
1720310400000,2024-07-07T00:00:00Z,39031859.00000000
1720314000000,2024-07-07T01:00:00Z,38949270.00000000
1720317600000,2024-07-07T02:00:00Z,39668904.00000000
1720321200000,2024-07-07T03:00:00Z,39851539.00000000
1720324800000,2024-07-07T04:00:00Z,39700420.00000000
1720328400000,2024-07-07T05:00:00Z,39336443.00000000
1720332000000,2024-07-07T06:00:00Z,39491117.00000000
1720335600000,2024-07-07T07:00:00Z,39494400.00000000
1720339200000,2024-07-07T08:00:00Z,40648211.00000000
1720342800000,2024-07-07T09:00:00Z,40896750.00000000
1720346400000,2024-07-07T10:00:00Z,40931931.00000000
1720350000000,2024-07-07T11:00:00Z,40778104.00000000
1720353600000,2024-07-07T12:00:00Z,40212933.00000000
1720357200000,2024-07-07T13:00:00Z,39756096.00000000
1720360800000,2024-07-07T14:00:00Z,42558393.00000000
1720364400000,2024-07-07T15:00:00Z,43992381.00000000
1720368000000,2024-07-07T16:00:00Z,44054011.00000000
1720371600000,2024-07-07T17:00:00Z,43545381.00000000
1720375200000,2024-07-07T18:00:00Z,44058687.00000000
1720378800000,2024-07-07T19:00:00Z,44001330.00000000
1720382400000,2024-07-07T20:00:00Z,43912050.00000000
1720386000000,2024-07-07T21:00:00Z,44097290.00000000
1720389600000,2024-07-07T22:00:00Z,42826690.00000000
1720393200000,2024-07-07T23:00:00Z,44020532.00000000
1720396800000,2024-07-08T00:00:00Z,44241311.00000000
1720400400000,2024-07-08T01:00:00Z,44435870.00000000
1720404000000,2024-07-08T02:00:00Z,44715455.00000000
1720407600000,2024-07-08T03:00:00Z,40671995.00000000
1720411200000,2024-07-08T04:00:00Z,40039832.00000000
1720414800000,2024-07-08T05:00:00Z,39292126.00000000
1720418400000,2024-07-08T06:00:00Z,38510511.00000000
1720422000000,2024-07-08T07:00:00Z,38882130.00000000
1720425600000,2024-07-08T08:00:00Z,39902919.00000000
1720429200000,2024-07-08T09:00:00Z,39511207.00000000
1720432800000,2024-07-08T10:00:00Z,40429682.00000000
1720436400000,2024-07-08T11:00:00Z,41435708.00000000
1720440000000,2024-07-08T12:00:00Z,44762374.00000000
1720443600000,2024-07-08T13:00:00Z,44790204.00000000
1720447200000,2024-07-08T14:00:00Z,45092340.00000000
1720450800000,2024-07-08T15:00:00Z,44799250.00000000
1720454400000,2024-07-08T16:00:00Z,44533092.00000000
1720458000000,2024-07-08T17:00:00Z,44707442.00000000
1720461600000,2024-07-08T18:00:00Z,45046109.00000000
1720465200000,2024-07-08T19:00:00Z,44939448.00000000
1720468800000,2024-07-08T20:00:00Z,45424403.00000000
1720472400000,2024-07-08T21:00:00Z,45116651.00000000
1720476000000,2024-07-08T22:00:00Z,45254596.00000000
1720479600000,2024-07-08T23:00:00Z,45475710.00000000
1720483200000,2024-07-09T00:00:00Z,45485410.00000000
1720486800000,2024-07-09T01:00:00Z,45223590.00000000
1720490400000,2024-07-09T02:00:00Z,44786102.00000000
1720494000000,2024-07-09T03:00:00Z,46775711.00000000
1720497600000,2024-07-09T04:00:00Z,47952349.00000000
1720501200000,2024-07-09T05:00:00Z,48531883.00000000
1720504800000,2024-07-09T06:00:00Z,49311653.00000000
1720508400000,2024-07-09T07:00:00Z,49728630.00000000
