timestamp_ms,datetime_utc,open_interest
1714521600000,2024-05-01T00:00:00Z,517108.81000000
1714525200000,2024-05-01T01:00:00Z,513796.82000000
1714528800000,2024-05-01T02:00:00Z,513077.26000000
1714532400000,2024-05-01T03:00:00Z,505040.14000000
1714536000000,2024-05-01T04:00:00Z,504746.99000000
1714539600000,2024-05-01T05:00:00Z,506497.90000000
1714543200000,2024-05-01T06:00:00Z,509749.74000000
1714546800000,2024-05-01T07:00:00Z,507716.17000000
1714550400000,2024-05-01T08:00:00Z,507657.48000000
1714554000000,2024-05-01T09:00:00Z,509607.72000000
1714557600000,2024-05-01T10:00:00Z,517164.55000000
1714561200000,2024-05-01T11:00:00Z,513712.54000000
1714564800000,2024-05-01T12:00:00Z,513393.64000000
1714568400000,2024-05-01T13:00:00Z,512957.95000000
1714572000000,2024-05-01T14:00:00Z,509098.49000000
1714575600000,2024-05-01T15:00:00Z,501908.63000000
1714579200000,2024-05-01T16:00:00Z,499474.41000000
1714582800000,2024-05-01T17:00:00Z,501834.28000000
1714586400000,2024-05-01T18:00:00Z,501761.50000000
1714590000000,2024-05-01T19:00:00Z,512112.50000000
1714593600000,2024-05-01T20:00:00Z,517301.71000000
1714597200000,2024-05-01T21:00:00Z,520586.22000000
1714600800000,2024-05-01T22:00:00Z,524592.60000000
1714604400000,2024-05-01T23:00:00Z,522946.10000000
1714608000000,2024-05-02T00:00:00Z,522078.99000000
1714611600000,2024-05-02T01:00:00Z,519117.20000000
1714615200000,2024-05-02T02:00:00Z,505716.10000000
1714618800000,2024-05-02T03:00:00Z,505624.87000000
1714622400000,2024-05-02T04:00:00Z,503727.03000000
1714626000000,2024-05-02T05:00:00Z,504595.50000000
1714629600000,2024-05-02T06:00:00Z,507255.61000000
1714633200000,2024-05-02T07:00:00Z,505144.83000000
1714636800000,2024-05-02T08:00:00Z,506532.84000000
1714640400000,2024-05-02T09:00:00Z,506801.13000000
1714644000000,2024-05-02T10:00:00Z,518615.22000000
1714647600000,2024-05-02T11:00:00Z,523078.90000000
1714651200000,2024-05-02T12:00:00Z,526349.00000000
1714654800000,2024-05-02T13:00:00Z,500579.43000000
1714658400000,2024-05-02T14:00:00Z,501177.27000000
1714662000000,2024-05-02T15:00:00Z,509355.36000000
1714665600000,2024-05-02T16:00:00Z,510222.78000000
1714669200000,2024-05-02T17:00:00Z,504487.02000000
1714672800000,2024-05-02T18:00:00Z,502621.16000000
1714676400000,2024-05-02T19:00:00Z,500816.76000000
1714680000000,2024-05-02T20:00:00Z,500160.50000000
1714683600000,2024-05-02T21:00:00Z,503825.82000000
1714687200000,2024-05-02T22:00:00Z,505957.72000000
1714690800000,2024-05-02T23:00:00Z,507434.45000000
1714694400000,2024-05-03T00:00:00Z,506616.79000000
1714698000000,2024-05-03T01:00:00Z,503740.54000000
1714701600000,2024-05-03T02:00:00Z,505574.66000000
1714705200000,2024-05-03T03:00:00Z,502620.15000000
1714708800000,2024-05-03T04:00:00Z,505060.15000000
1714712400000,2024-05-03T05:00:00Z,505545.59000000
1714716000000,2024-05-03T06:00:00Z,503553.58000000
1714719600000,2024-05-03T07:00:00Z,498674.79000000
1714723200000,2024-05-03T08:00:00Z,496260.94000000
1714726800000,2024-05-03T09:00:00Z,493018.92000000
1714730400000,2024-05-03T10:00:00Z,495136.35000000
1714734000000,2024-05-03T11:00:00Z,495080.03000000
1714737600000,2024-05-03T12:00:00Z,493613.83000000
1714741200000,2024-05-03T13:00:00Z,492455.26000000
1714744800000,2024-05-03T14:00:00Z,493799.72000000
1714748400000,2024-05-03T15:00:00Z,493440.01000000
1714752000000,2024-05-03T16:00:00Z,493305.69000000
1714755600000,2024-05-03T17:00:00Z,488785.42000000
1714759200000,2024-05-03T18:00:00Z,491111.18000000
1714762800000,2024-05-03T19:00:00Z,490692.62000000
1714766400000,2024-05-03T20:00:00Z,490222.12000000
1714770000000,2024-05-03T21:00:00Z,485464.60000000
1714773600000,2024-05-03T22:00:00Z,486851.75000000
1714777200000,2024-05-03T23:00:00Z,489433.77000000
1714780800000,2024-05-04T00:00:00Z,491391.97000000
1714784400000,2024-05-04T01:00:00Z,491413.61000000
1714788000000,2024-05-04T02:00:00Z,492750.98000000
1714791600000,2024-05-04T03:00:00Z,492521.74000000
1714795200000,2024-05-04T04:00:00Z,492610.21000000
1714798800000,2024-05-04T05:00:00Z,493083.61000000
1714802400000,2024-05-04T06:00:00Z,492985.36000000
1714806000000,2024-05-04T07:00:00Z,491272.20000000
1714809600000,2024-05-04T08:00:00Z,491844.64000000
1714813200000,2024-05-04T09:00:00Z,491282.66000000
1714816800000,2024-05-04T10:00:00Z,491538.81000000
1714820400000,2024-05-04T11:00:00Z,489336.80000000
1714824000000,2024-05-04T12:00:00Z,492623.41000000
1714827600000,2024-05-04T13:00:00Z,493585.42000000
1714831200000,2024-05-04T14:00:00Z,492513.72000000
1714834800000,2024-05-04T15:00:00Z,495799.82000000
1714838400000,2024-05-04T16:00:00Z,494708.14000000
1714842000000,2024-05-04T17:00:00Z,494539.92000000
1714845600000,2024-05-04T18:00:00Z,493699.88000000
1714849200000,2024-05-04T19:00:00Z,492872.42000000
1714852800000,2024-05-04T20:00:00Z,492527.11000000
1714856400000,2024-05-04T21:00:00Z,492355.89000000
1714860000000,2024-05-04T22:00:00Z,486825.93000000
1714863600000,2024-05-04T23:00:00Z,486729.39000000
1714867200000,2024-05-05T00:00:00Z,487361.65000000
1714870800000,2024-05-05T01:00:00Z,485301.49000000
1714874400000,2024-05-05T02:00:00Z,482199.86000000
1714878000000,2024-05-05T03:00:00Z,480126.61000000
1714881600000,2024-05-05T04:00:00Z,480135.45000000
1714885200000,2024-05-05T05:00:00Z,479782.32000000
1714888800000,2024-05-05T06:00:00Z,479768.76000000
1714892400000,2024-05-05T07:00:00Z,479688.82000000
1714896000000,2024-05-05T08:00:00Z,479518.49000000
1714899600000,2024-05-05T09:00:00Z,483376.11000000
1714903200000,2024-05-05T10:00:00Z,482251.34000000
1714906800000,2024-05-05T11:00:00Z,484625.53000000
1714910400000,2024-05-05T12:00:00Z,492528.81000000
1714914000000,2024-05-05T13:00:00Z,492856.95000000
1714917600000,2024-05-05T14:00:00Z,491158.43000000
1714921200000,2024-05-05T15:00:00Z,488303.98000000
1714924800000,2024-05-05T16:00:00Z,488422.62000000
1714928400000,2024-05-05T17:00:00Z,488860.01000000
1714932000000,2024-05-05T18:00:00Z,489122.60000000
1714935600000,2024-05-05T19:00:00Z,483566.63000000
1714939200000,2024-05-05T20:00:00Z,483195.11000000
1714942800000,2024-05-05T21:00:00Z,483469.28000000
1714946400000,2024-05-05T22:00:00Z,485140.97000000
1714950000000,2024-05-05T23:00:00Z,485421.64000000
1714953600000,2024-05-06T00:00:00Z,487659.10000000
1714957200000,2024-05-06T01:00:00Z,488518.80000000
1714960800000,2024-05-06T02:00:00Z,489031.58000000
1714964400000,2024-05-06T03:00:00Z,489196.58000000
1714968000000,2024-05-06T04:00:00Z,489895.53000000
1714971600000,2024-05-06T05:00:00Z,492156.83000000
1714975200000,2024-05-06T06:00:00Z,490196.50000000
1714978800000,2024-05-06T07:00:00Z,492158.59000000
1714982400000,2024-05-06T08:00:00Z,491103.02000000
1714986000000,2024-05-06T09:00:00Z,490644.19000000
1714989600000,2024-05-06T10:00:00Z,497420.51000000
1714993200000,2024-05-06T11:00:00Z,496168.85000000
1714996800000,2024-05-06T12:00:00Z,496577.93000000
1715000400000,2024-05-06T13:00:00Z,495507.58000000
1715004000000,2024-05-06T14:00:00Z,493969.01000000
1715007600000,2024-05-06T15:00:00Z,487499.54000000
1715011200000,2024-05-06T16:00:00Z,487125.40000000
1715014800000,2024-05-06T17:00:00Z,486977.48000000
1715018400000,2024-05-06T18:00:00Z,485791.22000000
1715022000000,2024-05-06T19:00:00Z,487659.86000000
1715025600000,2024-05-06T20:00:00Z,488393.18000000
1715029200000,2024-05-06T21:00:00Z,495239.98000000
1715032800000,2024-05-06T22:00:00Z,499643.41000000
1715036400000,2024-05-06T23:00:00Z,499547.43000000
1715040000000,2024-05-07T00:00:00Z,501911.33000000
1715043600000,2024-05-07T01:00:00Z,500697.66000000
1715047200000,2024-05-07T02:00:00Z,504398.00000000
1715050800000,2024-05-07T03:00:00Z,504098.70000000
1715054400000,2024-05-07T04:00:00Z,502712.28000000
1715058000000,2024-05-07T05:00:00Z,502019.08000000
1715061600000,2024-05-07T06:00:00Z,502187.55000000
1715065200000,2024-05-07T07:00:00Z,502950.09000000
1715068800000,2024-05-07T08:00:00Z,503325.84000000
1715072400000,2024-05-07T09:00:00Z,499784.56000000
1715076000000,2024-05-07T10:00:00Z,503333.51000000
1715079600000,2024-05-07T11:00:00Z,499606.01000000
1715083200000,2024-05-07T12:00:00Z,505322.01000000
1715086800000,2024-05-07T13:00:00Z,504286.48000000
1715090400000,2024-05-07T14:00:00Z,502603.60000000
1715094000000,2024-05-07T15:00:00Z,502028.80000000
1715097600000,2024-05-07T16:00:00Z,503056.21000000
1715101200000,2024-05-07T17:00:00Z,503617.36000000
1715104800000,2024-05-07T18:00:00Z,505066.92000000
1715108400000,2024-05-07T19:00:00Z,502647.64000000
1715112000000,2024-05-07T20:00:00Z,502141.83000000
1715115600000,2024-05-07T21:00:00Z,506301.52000000
1715119200000,2024-05-07T22:00:00Z,501966.40000000
1715122800000,2024-05-07T23:00:00Z,501898.46000000
1715126400000,2024-05-08T00:00:00Z,507668.94000000
1715130000000,2024-05-08T01:00:00Z,508422.77000000
1715133600000,2024-05-08T02:00:00Z,506344.54000000
1715137200000,2024-05-08T03:00:00Z,508521.96000000
1715140800000,2024-05-08T04:00:00Z,509607.64000000
1715144400000,2024-05-08T05:00:00Z,510766.17000000
1715148000000,2024-05-08T06:00:00Z,512303.66000000
1715151600000,2024-05-08T07:00:00Z,514072.81000000
