timestamp_ms,datetime_utc,open_interest
1738368000000,2025-02-01T00:00:00Z,1160328.54000000
1738371600000,2025-02-01T01:00:00Z,1155151.26000000
1738375200000,2025-02-01T02:00:00Z,1150647.06000000
1738378800000,2025-02-01T03:00:00Z,1151661.12999999
1738382400000,2025-02-01T04:00:00Z,1150818.85000000
1738386000000,2025-02-01T05:00:00Z,1151310.27000000
1738389600000,2025-02-01T06:00:00Z,1152201.31000000
1738393200000,2025-02-01T07:00:00Z,1143654.08000000
1738396800000,2025-02-01T08:00:00Z,1143097.97000000
1738400400000,2025-02-01T09:00:00Z,1132802.12000000
1738404000000,2025-02-01T10:00:00Z,1126209.62999999
1738407600000,2025-02-01T11:00:00Z,1123085.06000000
1738411200000,2025-02-01T12:00:00Z,1125285.07000000
1738414800000,2025-02-01T13:00:00Z,1123727.69000000
1738418400000,2025-02-01T14:00:00Z,1123172.11000000
1738422000000,2025-02-01T15:00:00Z,1121659.68000000
1738425600000,2025-02-01T16:00:00Z,1129606.42000000
1738429200000,2025-02-01T17:00:00Z,1123369.62000000
1738432800000,2025-02-01T18:00:00Z,1125154.79000000
1738436400000,2025-02-01T19:00:00Z,1121375.15999999
1738440000000,2025-02-01T20:00:00Z,1100431.87999999
1738443600000,2025-02-01T21:00:00Z,1094145.02000000
1738447200000,2025-02-01T22:00:00Z,1091314.26000000
1738450800000,2025-02-01T23:00:00Z,1092541.95000000
1738454400000,2025-02-02T00:00:00Z,1096001.36000000
1738458000000,2025-02-02T01:00:00Z,1093751.21000000
1738461600000,2025-02-02T02:00:00Z,1093049.08000000
1738465200000,2025-02-02T03:00:00Z,1092904.22000000
1738468800000,2025-02-02T04:00:00Z,1080009.68000000
1738472400000,2025-02-02T05:00:00Z,1088184.58000000
1738476000000,2025-02-02T06:00:00Z,1095532.92000000
1738479600000,2025-02-02T07:00:00Z,1084414.72000000
1738483200000,2025-02-02T08:00:00Z,1094245.89999999
1738486800000,2025-02-02T09:00:00Z,1089689.64999999
1738490400000,2025-02-02T10:00:00Z,1094059.65999999
1738494000000,2025-02-02T11:00:00Z,1104606.27000000
1738497600000,2025-02-02T12:00:00Z,1100809.03000000
1738501200000,2025-02-02T13:00:00Z,1103099.01000000
1738504800000,2025-02-02T14:00:00Z,1102363.88999999
1738508400000,2025-02-02T15:00:00Z,1101701.01000000
1738512000000,2025-02-02T16:00:00Z,1101560.09000000
1738515600000,2025-02-02T17:00:00Z,1091081.56000000
1738519200000,2025-02-02T18:00:00Z,1091376.39999999
1738522800000,2025-02-02T19:00:00Z,1083679.83000000
1738526400000,2025-02-02T20:00:00Z,1085657.04000000
1738530000000,2025-02-02T21:00:00Z,1079612.33000000
1738533600000,2025-02-02T22:00:00Z,1075850.96000000
1738537200000,2025-02-02T23:00:00Z,1050906.22000000
1738540800000,2025-02-03T00:00:00Z,1061142.55000000
1738544400000,2025-02-03T01:00:00Z,1065475.52000000
1738548000000,2025-02-03T02:00:00Z,1026194.55000000
1738551600000,2025-02-03T03:00:00Z,1034824.21000000
1738555200000,2025-02-03T04:00:00Z,1025663.86000000
