timestamp_ms,datetime_utc,open_interest
1682899200000,2023-05-01T00:00:00Z,10136607800.00000000
1682902800000,2023-05-01T01:00:00Z,10114411200.00000000
1682906400000,2023-05-01T02:00:00Z,9892916700.00000000
1682910000000,2023-05-01T03:00:00Z,9594771400.00000000
1682913600000,2023-05-01T04:00:00Z,9632428800.00000000
1682917200000,2023-05-01T05:00:00Z,9636847400.00000000
1682920800000,2023-05-01T06:00:00Z,9576121300.00000000
1682924400000,2023-05-01T07:00:00Z,9781736000.00000000
1682928000000,2023-05-01T08:00:00Z,9948266100.00000000
1682931600000,2023-05-01T09:00:00Z,10053038000.00000000
1682935200000,2023-05-01T10:00:00Z,10122501900.00000000
1682938800000,2023-05-01T11:00:00Z,9847870000.00000000
1682942400000,2023-05-01T12:00:00Z,9838398600.00000000
1682946000000,2023-05-01T13:00:00Z,9778330400.00000000
1682949600000,2023-05-01T14:00:00Z,9752932400.00000000
1682953200000,2023-05-01T15:00:00Z,9802789800.00000000
1682956800000,2023-05-01T16:00:00Z,9739653000.00000000
1682960400000,2023-05-01T17:00:00Z,9509541100.00000000
1682964000000,2023-05-01T18:00:00Z,9548110000.00000000
1682967600000,2023-05-01T19:00:00Z,9478622500.00000000
1682971200000,2023-05-01T20:00:00Z,9543553800.00000000
1682974800000,2023-05-01T21:00:00Z,9562914500.00000000
1682978400000,2023-05-01T22:00:00Z,9547656500.00000000
1682982000000,2023-05-01T23:00:00Z,9793320800.00000000
1682985600000,2023-05-02T00:00:00Z,9644932300.00000000
1682989200000,2023-05-02T01:00:00Z,9588773100.00000000
1682992800000,2023-05-02T02:00:00Z,9587350100.00000000
1682996400000,2023-05-02T03:00:00Z,9642525900.00000000
1683000000000,2023-05-02T04:00:00Z,9597634100.00000000
1683003600000,2023-05-02T05:00:00Z,9589831100.00000000
1683007200000,2023-05-02T06:00:00Z,9593161700.00000000
1683010800000,2023-05-02T07:00:00Z,9552818200.00000000
1683014400000,2023-05-02T08:00:00Z,9557499800.00000000
1683018000000,2023-05-02T09:00:00Z,9520833400.00000000
1683021600000,2023-05-02T10:00:00Z,9515202000.00000000
1683025200000,2023-05-02T11:00:00Z,9361940800.00000000
1683028800000,2023-05-02T12:00:00Z,9353256700.00000000
1683032400000,2023-05-02T13:00:00Z,9418101100.00000000
1683036000000,2023-05-02T14:00:00Z,9331112400.00000000
1683039600000,2023-05-02T15:00:00Z,9373114200.00000000
1683043200000,2023-05-02T16:00:00Z,9530800200.00000000
1683046800000,2023-05-02T17:00:00Z,9499885400.00000000
1683050400000,2023-05-02T18:00:00Z,9593980400.00000000
1683054000000,2023-05-02T19:00:00Z,9735759100.00000000
1683057600000,2023-05-02T20:00:00Z,9634447700.00000000
1683061200000,2023-05-02T21:00:00Z,9655694600.00000000
1683064800000,2023-05-02T22:00:00Z,9656606200.00000000
1683068400000,2023-05-02T23:00:00Z,9707994400.00000000
1683072000000,2023-05-03T00:00:00Z,9727796800.00000000
1683075600000,2023-05-03T01:00:00Z,9696598300.00000000
1683079200000,2023-05-03T02:00:00Z,9714225600.00000000
1683082800000,2023-05-03T03:00:00Z,9636151200.00000000
1683086400000,2023-05-03T04:00:00Z,9607982400.00000000
1683090000000,2023-05-03T05:00:00Z,9617617600.00000000
1683093600000,2023-05-03T06:00:00Z,9623904600.00000000
1683097200000,2023-05-03T07:00:00Z,9640578200.00000000
1683100800000,2023-05-03T08:00:00Z,9665168800.00000000
1683104400000,2023-05-03T09:00:00Z,9644142100.00000000
1683108000000,2023-05-03T10:00:00Z,9674883500.00000000
1683111600000,2023-05-03T11:00:00Z,9817270700.00000000
1683115200000,2023-05-03T12:00:00Z,9879724900.00000000
1683118800000,2023-05-03T13:00:00Z,9347372000.00000000
1683122400000,2023-05-03T14:00:00Z,9502527200.00000000
1683126000000,2023-05-03T15:00:00Z,9300215000.00000000
1683129600000,2023-05-03T16:00:00Z,9285585400.00000000
1683133200000,2023-05-03T17:00:00Z,9252663800.00000000
1683136800000,2023-05-03T18:00:00Z,9250029800.00000000
1683140400000,2023-05-03T19:00:00Z,9176478000.00000000
1683144000000,2023-05-03T20:00:00Z,9154658200.00000000
1683147600000,2023-05-03T21:00:00Z,9134245600.00000000
1683151200000,2023-05-03T22:00:00Z,9092131700.00000000
1683154800000,2023-05-03T23:00:00Z,9169235400.00000000
1683158400000,2023-05-04T00:00:00Z,9179966600.00000000
1683162000000,2023-05-04T01:00:00Z,9159145600.00000000
1683165600000,2023-05-04T02:00:00Z,9107329200.00000000
1683169200000,2023-05-04T03:00:00Z,8993405900.00000000
1683172800000,2023-05-04T04:00:00Z,9094583100.00000000
1683176400000,2023-05-04T05:00:00Z,9232254300.00000000
1683180000000,2023-05-04T06:00:00Z,9208560300.00000000
1683183600000,2023-05-04T07:00:00Z,9067566900.00000000
1683187200000,2023-05-04T08:00:00Z,9034608900.00000000
1683190800000,2023-05-04T09:00:00Z,9026604000.00000000
1683194400000,2023-05-04T10:00:00Z,9069848700.00000000
1683198000000,2023-05-04T11:00:00Z,9174238600.00000000
1683201600000,2023-05-04T12:00:00Z,9206213400.00000000
1683205200000,2023-05-04T13:00:00Z,9277044300.00000000
1683208800000,2023-05-04T14:00:00Z,9210711700.00000000
1683212400000,2023-05-04T15:00:00Z,9201048500.00000000
1683216000000,2023-05-04T16:00:00Z,9249451000.00000000
1683219600000,2023-05-04T17:00:00Z,9246335000.00000000
1683223200000,2023-05-04T18:00:00Z,9213066200.00000000
1683226800000,2023-05-04T19:00:00Z,9210306000.00000000
1683230400000,2023-05-04T20:00:00Z,9209658000.00000000
1683234000000,2023-05-04T21:00:00Z,9271661800.00000000
1683237600000,2023-05-04T22:00:00Z,9236712300.00000000
1683241200000,2023-05-04T23:00:00Z,9189921100.00000000
1683244800000,2023-05-05T00:00:00Z,9206336300.00000000
1683248400000,2023-05-05T01:00:00Z,9230234400.00000000
