timestamp_ms,datetime_utc,open_interest
1690848000000,2023-08-01T00:00:00Z,2535894.29999999
1690851600000,2023-08-01T01:00:00Z,2524259.70000000
1690855200000,2023-08-01T02:00:00Z,2523568.40000000
1690858800000,2023-08-01T03:00:00Z,2468443.50000000
1690862400000,2023-08-01T04:00:00Z,2481641.29999999
1690866000000,2023-08-01T05:00:00Z,2488346.00000000
1690869600000,2023-08-01T06:00:00Z,2494131.60000000
1690873200000,2023-08-01T07:00:00Z,2483451.60000000
1690876800000,2023-08-01T08:00:00Z,2499617.70000000
1690880400000,2023-08-01T09:00:00Z,2493531.00000000
1690884000000,2023-08-01T10:00:00Z,2490166.40000000
1690887600000,2023-08-01T11:00:00Z,2491111.20000000
1690891200000,2023-08-01T12:00:00Z,2501156.20000000
1690894800000,2023-08-01T13:00:00Z,2504863.40000000
1690898400000,2023-08-01T14:00:00Z,2503515.29999999
1690902000000,2023-08-01T15:00:00Z,2507134.90000000
1690905600000,2023-08-01T16:00:00Z,2526934.70000000
1690909200000,2023-08-01T17:00:00Z,2521922.00000000
1690912800000,2023-08-01T18:00:00Z,2523030.29999999
1690916400000,2023-08-01T19:00:00Z,2520072.00000000
1690920000000,2023-08-01T20:00:00Z,2502054.50000000
1690923600000,2023-08-01T21:00:00Z,2496181.29999999
1690927200000,2023-08-01T22:00:00Z,2490243.50000000
1690930800000,2023-08-01T23:00:00Z,2488963.50000000
1690934400000,2023-08-02T00:00:00Z,2455637.10000000
1690938000000,2023-08-02T01:00:00Z,2417836.20000000
1690941600000,2023-08-02T02:00:00Z,2413182.29999999
1690945200000,2023-08-02T03:00:00Z,2407574.40000000
1690948800000,2023-08-02T04:00:00Z,2414471.40000000
1690952400000,2023-08-02T05:00:00Z,2424389.00000000
1690956000000,2023-08-02T06:00:00Z,2438559.40000000
1690959600000,2023-08-02T07:00:00Z,2435505.10000000
1690963200000,2023-08-02T08:00:00Z,2445299.60000000
1690966800000,2023-08-02T09:00:00Z,2451833.29999999
1690970400000,2023-08-02T10:00:00Z,2466598.29999999
1690974000000,2023-08-02T11:00:00Z,2460602.40000000
1690977600000,2023-08-02T12:00:00Z,2465344.70000000
1690981200000,2023-08-02T13:00:00Z,2465241.50000000
1690984800000,2023-08-02T14:00:00Z,2453955.60000000
1690988400000,2023-08-02T15:00:00Z,2452105.40000000
1690992000000,2023-08-02T16:00:00Z,2458696.10000000
1690995600000,2023-08-02T17:00:00Z,2434917.10000000
1690999200000,2023-08-02T18:00:00Z,2443278.10000000
1691002800000,2023-08-02T19:00:00Z,2454388.79999999
1691006400000,2023-08-02T20:00:00Z,2459569.40000000
1691010000000,2023-08-02T21:00:00Z,2457250.40000000
1691013600000,2023-08-02T22:00:00Z,2457410.79999999
1691017200000,2023-08-02T23:00:00Z,2457804.60000000
1691020800000,2023-08-03T00:00:00Z,2484850.90000000
1691024400000,2023-08-03T01:00:00Z,2451682.50000000
1691028000000,2023-08-03T02:00:00Z,2471825.20000000
1691031600000,2023-08-03T03:00:00Z,2502802.00000000
1691035200000,2023-08-03T04:00:00Z,2502575.10000000
1691038800000,2023-08-03T05:00:00Z,2497932.60000000
1691042400000,2023-08-03T06:00:00Z,2491819.90000000
1691046000000,2023-08-03T07:00:00Z,2503336.10000000
1691049600000,2023-08-03T08:00:00Z,2503254.29999999
1691053200000,2023-08-03T09:00:00Z,2494881.20000000
1691056800000,2023-08-03T10:00:00Z,2499582.00000000
1691060400000,2023-08-03T11:00:00Z,2502689.40000000
1691064000000,2023-08-03T12:00:00Z,2495974.50000000
1691067600000,2023-08-03T13:00:00Z,2503132.10000000
1691071200000,2023-08-03T14:00:00Z,2503714.40000000
1691074800000,2023-08-03T15:00:00Z,2505281.79999999
1691078400000,2023-08-03T16:00:00Z,2528585.79999999
1691082000000,2023-08-03T17:00:00Z,2536362.50000000
1691085600000,2023-08-03T18:00:00Z,2545635.10000000
1691089200000,2023-08-03T19:00:00Z,2565320.10000000
1691092800000,2023-08-03T20:00:00Z,2566604.00000000
1691096400000,2023-08-03T21:00:00Z,2556367.20000000
1691100000000,2023-08-03T22:00:00Z,2550303.29999999
1691103600000,2023-08-03T23:00:00Z,2535459.00000000
1691107200000,2023-08-04T00:00:00Z,2535476.79999999
1691110800000,2023-08-04T01:00:00Z,2529141.20000000
1691114400000,2023-08-04T02:00:00Z,2526211.50000000
1691118000000,2023-08-04T03:00:00Z,2529609.70000000
1691121600000,2023-08-04T04:00:00Z,2545708.79999999
1691125200000,2023-08-04T05:00:00Z,2536601.10000000
1691128800000,2023-08-04T06:00:00Z,2540295.29999999
1691132400000,2023-08-04T07:00:00Z,2540401.70000000
1691136000000,2023-08-04T08:00:00Z,2543221.40000000
1691139600000,2023-08-04T09:00:00Z,2556723.79999999
1691143200000,2023-08-04T10:00:00Z,2563440.00000000
1691146800000,2023-08-04T11:00:00Z,2575800.50000000
1691150400000,2023-08-04T12:00:00Z,2593835.70000000
1691154000000,2023-08-04T13:00:00Z,2595614.00000000
1691157600000,2023-08-04T14:00:00Z,2597102.70000000
1691161200000,2023-08-04T15:00:00Z,2597797.40000000
1691164800000,2023-08-04T16:00:00Z,2594041.29999999
1691168400000,2023-08-04T17:00:00Z,2602986.60000000
1691172000000,2023-08-04T18:00:00Z,2606882.10000000
1691175600000,2023-08-04T19:00:00Z,2604474.70000000
1691179200000,2023-08-04T20:00:00Z,2618552.00000000
1691182800000,2023-08-04T21:00:00Z,2634674.90000000
1691186400000,2023-08-04T22:00:00Z,2654894.40000000
1691190000000,2023-08-04T23:00:00Z,2663039.10000000
1691193600000,2023-08-05T00:00:00Z,2685085.70000000
1691197200000,2023-08-05T01:00:00Z,2688023.50000000
1691200800000,2023-08-05T02:00:00Z,2678504.60000000
1691204400000,2023-08-05T03:00:00Z,2681160.29999999
1691208000000,2023-08-05T04:00:00Z,2685719.90000000
1691211600000,2023-08-05T05:00:00Z,2687642.79999999
1691215200000,2023-08-05T06:00:00Z,2687810.00000000
1691218800000,2023-08-05T07:00:00Z,2695074.40000000
1691222400000,2023-08-05T08:00:00Z,2695082.20000000
1691226000000,2023-08-05T09:00:00Z,2718368.40000000
1691229600000,2023-08-05T10:00:00Z,2739745.10000000
1691233200000,2023-08-05T11:00:00Z,2733934.40000000
1691236800000,2023-08-05T12:00:00Z,2734170.70000000
1691240400000,2023-08-05T13:00:00Z,2769328.00000000
1691244000000,2023-08-05T14:00:00Z,2764488.40000000
1691247600000,2023-08-05T15:00:00Z,2749418.50000000
1691251200000,2023-08-05T16:00:00Z,2745573.79999999
1691254800000,2023-08-05T17:00:00Z,2737557.40000000
