timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1777593600000,2026-05-01T00:00:00Z,1.3679,1.372,1.3679,1.3718,69716.61,95518.387964
1777593900000,2026-05-01T00:05:00Z,1.3718,1.3723,1.3706,1.3718,150173.58,205978.676608
1777594200000,2026-05-01T00:10:00Z,1.3718,1.3733,1.3694,1.3706,413722.08,567128.815816
1777594500000,2026-05-01T00:15:00Z,1.3706,1.3725,1.3706,1.3714,138485.15,189938.74628
1777594800000,2026-05-01T00:20:00Z,1.3714,1.3715,1.3701,1.3701,9532.23,13067.396655
1777595100000,2026-05-01T00:25:00Z,1.3701,1.3704,1.3693,1.3693,67556.51,92545.619481
1777595400000,2026-05-01T00:30:00Z,1.3693,1.3705,1.3679,1.3681,31053.91,42535.794295
1777595700000,2026-05-01T00:35:00Z,1.3681,1.3685,1.3665,1.3675,145140.76,198425.545998
1777596000000,2026-05-01T00:40:00Z,1.3675,1.369,1.3675,1.3688,34133.88,46698.863909
1777596300000,2026-05-01T00:45:00Z,1.3688,1.3708,1.3677,1.3677,54066.23,73991.384198
1777596600000,2026-05-01T00:50:00Z,1.3677,1.3679,1.366,1.3663,149286.53,204011.116404
1777596900000,2026-05-01T00:55:00Z,1.3663,1.3695,1.3648,1.369,635573.63,869256.891563
1777597200000,2026-05-01T01:00:00Z,1.369,1.3706,1.3687,1.3704,21072.26,28852.449657
1777597500000,2026-05-01T01:05:00Z,1.3704,1.3729,1.3704,1.3724,51368.3,70480.450694
1777597800000,2026-05-01T01:10:00Z,1.3724,1.3739,1.3712,1.3729,212993.32,292468.349719
1777598100000,2026-05-01T01:15:00Z,1.3729,1.3749,1.3696,1.3697,933206.89,1280452.442444
1777598400000,2026-05-01T01:20:00Z,1.3697,1.3698,1.3685,1.3693,277497.89,379919.407776
1777598700000,2026-05-01T01:25:00Z,1.3693,1.3695,1.3666,1.367,98279.34,134416.859591
1777599000000,2026-05-01T01:30:00Z,1.367,1.3705,1.3652,1.3702,736358.79,1007073.356365
1777599300000,2026-05-01T01:35:00Z,1.3702,1.3708,1.3694,1.3696,351028.39,480912.471916
1777599600000,2026-05-01T01:40:00Z,1.3696,1.3711,1.3693,1.3703,60099.54,82345.905994
1777599900000,2026-05-01T01:45:00Z,1.3703,1.3718,1.3697,1.371,56179.8,76990.882933
